Tokodede,Tetun,English
kla'o,aat (sasan),"bad, unwell, broke (for things)"
soko,aat (ema),"bad, unwell, broke (for people)"
seri,balun,half
bloi,di'ak,"good, right, fine"
manu,manu,chicken
kuda,kuda,horse
api mat,dapur,kitchen
ibohulu,hasan rahun,beard
limu kabu,liman-kabun,bicep
isi lolo,isin lolon,body (whole)
hulu,fulun,body hair
isi,isin,"body, flesh"
gunutar,kakutak,brain
umat,"hirus matan, peitu","chest, thorax, bosom"
mat hulu,matan fulun,"eyebrow, eyelash"
oe,oin,face
limu'u,liman-fuan,finger
vu,"fuan, (lp) kurasaun",heart
koe'u,ain fuan,toe
dgana ulu,fuuk,hair
kubu,kukun,nail
mogorot,modok,green
megee,kinur,yellow
"pela, sente",sente,"feel, feeling"
mataku,ta'uk,"afraid, fear"
mde’es/mesa,mesak,alone
kusuba/kisit,hirus,"anger, angry, fury"
tekeru,bulak,"crazy, insane"
kontente,kontente,happy
lara-m'nara,hadomi,love
triste,triste,sad
makae,moe,shy
gru’a,moras,"sick, disease"
kakora,hakfodak,"startled, shocked"
kulukut,namkurut,"wrinkled, crinkled, crumpled"
makae a’e,mo'e dor,very shy
noo,nuu,coconut
sele,batar,corn
enu,hemu,drink
telo,tolun,egg
mantelo,manu tolun,egg (chicken)
vú (tm),"fuan, ai-fuan",fruit
vurisí (tm),forai,peanut
sia,masin,salt
uta rua,modo tahan,vegetables
teke,toke,gecko
sisi,na’an,meat
sevar,fehuk,potato
tigisa,siin,"sour, acid"
sabaité,abu-abu; kalohan,"cloud, cloudy"
tukudu,malirin,cold
ula baiseri,fulan sorin,crescent moon
ula muda,fulan nakukun,dark moon
muda,nakukun,darkness
api,ahi,fire
api-lio,ahi-lakan,flame
ula ketemo,fulan tomak,full moon
vitu,fitun,star
ula aer,fulan naroman,moonlight
tana,kuda,plant (activity)
ura,udan,rain
baná,manas,"warm, hot"
nee tunugu,fo folin,give price
pelseta,nu'usá,"how, what"
leula,husik ba,let it be
ke,mak,"so, that (focus marker)"
dabait,tarutu,"bang, pop"
tunugu ha’e,"folin boot, folin karun","big price, expensive"
klobu,ko’a,cut
mate,mate,dead
lor,malu,each other
lapar,sasan,"goods, products"
verkede’e,iha ne’e,here
sola,subar (buat),hide (thing)
ligu,lisuk,"jointly, as a group"
ba'a,halimar,"joke, jest, wisecrack"
te,la,"not, no"
tunugu,folin,price
peri,dada,pull
pio/piotama,hatama,"put in, insert, submit, deposit"
glelu,fila,return
sapi,baluk,slice
vel-vele,neneik,"slow, slowly"
mali,hamnasa,smile
kupu,suar,smoke
lapaiso,"buat ida, buat ruma",something
bree,lian,"sound, noise"
verkono’o,iha ne’eba,there
magani/nurat/olara,hanoin,"think, remember, miss"
kede’e,ne’e,"this, that"
lapa,"sasan, buat ruma, buat","tool, equipment, things"
vore,tais,traditional clothes for man and women
m'nara,hakarak,want
kuipil,dala hira,"how often, how many times"
pil,hira,"how much, how many"
sebeta,konvida,"invite, invitation"
brobas kla’o,bosok ten,liar
manaru,naruk,long
osa,osan,"money, fund"
pesi,liu tan,more than
nour,barak,"much, many"
lo’e,loke,open
loba,loos,right
lose,ho,with
meges,hanesan,equal; same
tia,tia,aunt
mane,mane,boy/man
ana,oan,child
ana vine,oan feto,daughter
kaka,maun,older brother
tiu,tiu,uncle
viné,feto,"woman, women, lady"
muguru,nurak,young
sao,"belun, kolega","friend, mate"
ala roo,hola malu,married
kaben,kaben,married
ana mane,oan mane,son
ali,alin,"young brother, younger sister"
favor,favor,please
bai,sorin,side
